,Station ID,Station Name,Yelp ID,Venue Name,Price,Review Count,Rating,Latitude,Longitude,Distance,Address,Category name
0,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,PrKpa6Ejv1v1WvIIywYMvg,Aperture Coffee Bar,$$,122,4.0,49.2632037459,-123.110469593,295.9249203529791,"243 W Broadway, Vancouver, BC V5Y 3L1, Canada",Coffee & Tea
1,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,NensKn1MSVU_rm-1Y6WlFA,Marulilu Cafe,$$,281,4.0,49.26338,-123.11415,102.3298169925688,"451 W Broadway, Vancouver, BC V5Y 1R4, Canada",Cafes
2,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,X-73k3cwBjjc170MOdPa7A,Elysian Coffee,$$,207,3.5,49.26294,-123.11728,221.08064577489418,"590 W Broadway, Vancouver, BC V5Z 1E9, Canada",Coffee & Tea
3,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,dh-h2jbsa2ElN5Db0vfotQ,On the Grind - Pedalling Epic Coffee,$,4,5.0,49.261226,-123.1139268,144.3084223919269,"Vancouver, BC, Canada",Coffee & Tea
4,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,UkSNdIF54dvas25eh_CmFw,Caffe Cittadella,$$,152,4.0,49.264809386635505,-123.11726668221056,331.7346855105138,"2310 Ash Street, Vancouver, BC V5Z 3C2, Canada",Coffee & Tea
5,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,NnaE4IKlc6XdYOUu4IOV5w,49th Parallel Coffee,$,495,4.0,49.2591330651218,-123.10088478104,1049.0763609144662,"2902 Main Street, Vancouver, BC V5T 0C1, Canada",Cafes
6,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,2M3JB9wpYUDNxtEyv3ZMww,Modus Coffee Roasters,$,31,4.5,49.2629464,-123.1074362,520.0271758549059,"112 W Broadway, Vancouver, BC V5Y 1P1, Canada",Coffee Roasteries
7,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,lG1o4Zb08AGxabl30Truew,Milano Coffee,$$,97,4.0,49.26359,-123.10872,434.22637273268606,"156 8th Avenue W, Vancouver, BC V5Y 1N2, Canada",Coffee & Tea
8,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,V8bM35xa5m_s_I_RDwqbpA,The Mighty Oak,$$,44,4.5,49.25470697013,-123.109722571412,929.2315256247117,"198 W 18th Avenue, Vancouver, BC V5Y 2A5, Canada",Grocery
9,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,WJvPqNWk14YQlzROy9J5Og,Melo Patisserie,,31,4.5,49.2635651,-123.1014339,940.1094668787563,"154 E 8th Avenue, Vancouver, BC V5T 1R7, Canada",Coffee & Tea
10,7a19c49f486d7c0c02b3685d7b240448,0001 10th & Cambie,_ItmR4oTnTP-4-WL4LxLmw,One Bowl,,12,4.0,49.263533857529154,-123.1195716,393.1209158754059,"693 W Broadway, Vancouver, BC V5Z 1G6, Canada",Cafes
